CITY,LAT,LNG,CAPITAL,POPULATION
Kyiv,50.4500,30.5236,primary,2963199
Kharkiv,50.0000,36.2292,admin,1446107
Odesa,46.4775,30.7326,admin,1017699
Dnipro,48.4500,34.9833,admin,1002111
Donetsk,48.0089,37.8042,admin,929063
Zaporizhzhia,47.8378,35.1383,admin,741717
Lviv,49.8419,24.0315,admin,724314
Kryvyi Rih,47.9086,33.3433,minor,629695
Mykolaiv,46.9667,32.0000,admin,498748
Mariupol,47.1306,37.5639,minor,449498
Sevastopol,44.6000,33.5333,admin,428753
Luhansk,48.5833,39.3333,admin,417990
Vinnytsia,49.2372,28.4672,admin,371855
Makiivka,48.0556,37.9611,minor,347376
Simferopol,44.9484,34.1000,admin,341799
Poltava,49.5744,34.5686,admin,317847
Chernihiv,51.4939,31.2947,admin,294522
Kherson,46.6333,32.6000,admin,291428
Cherkasy,49.4444,32.0597,admin,276360
Khmelnytskyi,49.4200,27.0000,admin,274176
Zhytomyr,50.2544,28.6578,admin,266936
Chernivtsi,48.2908,25.9344,admin,266550
Sumy,50.9068,34.7992,admin,265758
Horlivka,48.3336,38.0925,minor,256714
Rivne,50.6197,26.2514,admin,245630
Ivano-Frankivsk,48.9228,24.7106,admin,236602
Kamianske,48.5076,34.6132,minor,235066
Kremenchuk,49.0775,33.4239,minor,234073
Kropyvnytskyi,48.5103,32.2667,admin,227413
Ternopil,49.5667,25.6000,admin,218653
Lutsk,50.7478,25.3244,admin,216505
Bila Tserkva,49.7956,30.1167,minor,208944
Kramatorsk,48.7208,37.5556,minor,159445
Melitopol,46.8333,35.3667,minor,154992
Sievierodonetsk,48.9500,38.4833,minor,150000
Drohobych,49.3500,23.5000,minor,124269
Khrustalnyi,48.1214,38.9453,minor,124000
Uzhhorod,48.6239,22.2950,admin,114897
Berdiansk,46.7598,36.7845,minor,114205
Sloviansk,48.8700,37.6250,minor,113196
Nikopol,47.5772,34.3575,minor,112102
Yevpatoriia,45.2000,33.3583,minor,106158
Pavlohrad,48.5200,35.8700,minor,106082
Alchevsk,48.4672,38.7983,minor,105398
Konotop,51.2369,33.2027,minor,103547
Brovary,50.5114,30.7903,minor,102856
Kamianets-Podilskyi,48.6806,26.5806,minor,100462
